line number,Character,Character pinyin,Character EN translation,Character HE translation ,Related Sentence,Sentence Pinyin,Sentence EN Translation,Sentence HE Translation,Apearances in sentences,Group,Sentence Length
611,眼镜,yǎnjìng,glasses;,מִשׁקָפַיִם;,戴眼镜,dài yǎnjìng,Wearing glasses,מרכיבים משקפיים,2,Group 1,3
612,要紧,yàojǐn,important; serious,חָשׁוּב; רְצִינִי,很要紧,hěn yàojǐn,Very important,חשוב מאוד,2,Group 1,3
613,野生,yěshēng,wild;,פְּרָאִי;,野生的,yěshēng de,wild,פְּרָאִי,2,Group 1,3
614,遗憾,yíhàn,"regretful, sorry","מצטער, סליחה",很遗憾,hěn yíhàn,Unfortunately,לְמַרְבֶּה הַצַעַר,2,Group 1,3
615,硬币,yìngbì,coin;,מַטְבֵּעַ;,用硬币,yòng yìngbì,Use coins,השתמש במטבעות,2,Group 1,3
616,硬座,yìngzuò,hard seat,מושב קשה,坐硬座,zuò yìngzuò,Sit in a hard seat,שב במושב קשה,2,Group 1,3
617,拥挤,yōngjǐ,be crowded.,להיות צפוף.,很拥挤,hěn yōngjǐ,Very crowded,צפוף מאוד,2,Group 1,3
618,邮筒,yóutǒng,mailbox.,תיבת דואר.,投邮筒,tóu yóutǒng,Mailbox,תיבת דואר,2,Group 1,3
619,元宵,yuánxiāo,sweet dumplings,כופתאות מתוקות,吃元宵,chī yuánxiāo,Eat Yuanxiao,תאכל יואנקסיאו,2,Group 1,3
620,杂志,zázhì,magazine; records; notes.,מָגָזִין; רשומות; הערות.,看杂志,kàn zázhì,Reading magazines,קריאת מגזינים,2,Group 1,3
621,中间,zhōngjiān,between; centre; middle.,בֵּין; מֶרְכָּז; אֶמצַע.,在中间,zài zhōngjiān,In the middle,באמצע,2,Group 1,3
622,住宅,zhùzhái,residence; dwelling.,מְגוּרִים; דִירָה.,住住宅,zhù zhùzhái,Residential,מגורים,2,Group 1,3
623,专利,zhuānlì,patent,פָּטֶנט,有专利,yǒu zhuānlì,Patented,פטנט,2,Group 1,3
624,桌布,zhuōbù,tablecloth,מַפָּה,铺桌布,pū zhuōbù,Lay the tablecloth,הניחו את המפה,2,Group 1,3
625,字幕,zìmù,subtitles.,כתוביות.,看字幕,kàn zìmù,Read subtitles,קרא כתוביות,2,Group 1,3
626,自信,zìxìn,self-confident.,בטוח בעצמו.,很自信,hěn zìxìn,Very confident,מאוד בטוח,2,Group 1,3
627,白酒,báijiǔ,white spirit.,רוח לבנה.,或白酒,huò bái jiǔ,or liquor,או משקה חריף,2,Group 1,3
628,博士,bóshì,Ph. D,Ph. D,博士生,bó shì shēng,PhD students,סטודנטים לדוקטורט,2,Group 1,3
629,第,dì,(indicating ordinal numbers),(מציין מספרים סידוריים),第一名,dì yī míng,First Place,מקום ראשון,2,Group 1,3
630,中餐,zhōngcān,Chinese meal;,ארוחה סינית;,吃中餐,chī zhōng cān,Eat Chinese food,לאכול אוכל סיני,2,Group 1,3
631,擦,cā,wipe; clean,לְנַגֵב; לְנַקוֹת,擦桌子,cā zhuōzi,Wipe the table,נגב את השולחן,2,Group 1,3
632,刀,dāo,knife,סַכִּין,用刀切,yòng dāo qiē,Cut with a knife,חותכים עם סכין,2,Group 1,3
633,围,wéi,enclose; surround,לְצַרֵף; לְהַקִיף,围起来,wéi qǐlái,Fenced,מְגוּדָר,2,Group 1,3
634,束,shù,bunch;,צְרוֹר;,一束花,yī shù huā,a bouquet of flowers,זר פרחים,2,Group 1,3
635,洒,sǎ,spill,לִשְׁפּוֹך,水洒了。,Shuǐ sǎ le.,The water spilled.,המים נשפכו.,2,Group 1,4
636,脱,tuō,take off,לְהַמרִיא,请脱鞋。,Qǐng tuō xié.,Please take off your shoes.,בבקשה חלץ את הנעליים.,2,Group 1,4
637,打工,dǎgōng,do part time work.,לעשות עבודה במשרה חלקית.,我打工过,wǒ dǎ gōng guò,I have worked,עבדתי,2,Group 1,4
638,录音,lùyīn,sound recording.,הקלטת קול.,我在录音,wǒ zài lùyīn,I'm recording,אני מקליט,2,Group 1,4
639,摔跤,shuāijiǎo,have a fall,יש נפילה,他摔跤了,tā shuāijiāo le,He fell,הוא נפל,2,Group 1,4
640,头顶,tóudǐng,the top of/above the head.,החלק העליון של/מעל הראש.,头顶有灯,tóudǐng yǒu dēng,There is a light above your head,יש אור מעל הראש שלך,2,Group 1,4
641,托运,tuōyùn,consign for shipment; check.,לשלוח למשלוח; לִבדוֹק.,托运行李,tuōyùn xíngli,Checked baggage,מטען נשלח,2,Group 1,4
642,外宾,wàibīn,foreign guest/visitor,אורח/אורח זר,外宾来访,wàibīn láifǎng,Foreign guests visiting,אורחים זרים מבקרים,2,Group 1,4
643,显得,xiǎnde,seem; appear.,לְהֵרָאוֹת; לְהוֹפִיעַ.,显得很累,xiǎnde hěn lèi,Looks very tired,נראה עייף מאוד,2,Group 1,4
644,想念,xiǎngniàn,miss.,לְהַחמִיץ.,想念家人,xiǎngniàn jiārén,Missing family,משפחה חסרה,2,Group 1,4
645,谐音,xiéyīn,homophony,הומופוניה,这是谐音,zhè shì xiéyīn,This is a harmonic,זהו הרמוני,2,Group 1,4
646,新娘,xīnniáng,bride.,כַּלָה.,新娘很美,xīnniáng hěn měi,The bride is beautiful,הכלה יפה,2,Group 1,4
647,引起,yǐnqǐ,cause; arouse.,לִגרוֹם; לְעוֹרֵר.,引起注意,yǐnqǐ zhùyì,Attract attention,למשוך תשומת לב,2,Group 1,4
648,用心,yòngxīn,attentively; concentrated,בתשומת לב; מְרוּכָּז,用心学习,yòngxīn xuéxí,Study hard,למד קשה,2,Group 1,4
649,永远,yǒngyuǎn,forever;,לָנֶצַח;,永远记住,yǒngyuǎn jìzhù,Always remember,תזכור תמיד,2,Group 1,4
650,预习,yùxí,prepare for lessons,להתכונן לשיעורים,预习功课,yùxí gōngkè,Preview homework,תצוגה מקדימה של שיעורי בית,2,Group 1,4
651,造成,zàochéng,cause; bring about.,לִגרוֹם; לִגרוֹם.,造成问题,zàochéng wèntí,Cause problems,לגרום לבעיות,2,Group 1,4
652,争取,zhēngqǔ,strive for; try hard,לשאוף; לנסות קשה,争取成功,zhēngqǔ chénggōng,Strive for success,שאפו להצלחה,2,Group 1,4
653,装饰,zhuāngshì,"decorate, decoration","לקשט, קישוט",装饰房间,zhuāngshì fángjiān,Decorate the room,מקשטים את החדר,2,Group 1,4
654,冰灯,bīngdēng,ice lantern,פנס קרח,冰灯很美,bīngdēng hěn měi,The ice lanterns are beautiful,פנסי הקרח יפים,2,Group 1,4
655,播出,bōchū,broadcast.,מִשׁדָר.,电视播出,diànshì bōchū,TV broadcast,שידור טלוויזיה,2,Group 1,4
656,彩灯,cǎidēng,coloured lights,אורות צבעוניים,彩灯很亮,cǎidēng hěn liàng,The colored lights are very bright,האורות הצבעוניים בהירים מאוד,2,Group 1,4
657,插头,chātóu,plug.,תֶקַע.,插头坏了,chātóu huài le,The plug is broken,התקע נשבר,2,Group 1,4
658,超重,chāozhòng,overweight.,עודף משקל.,行李超重,xíngli chāozhòng,Excess luggage,עודף מטען,2,Group 1,4
659,成立,chénglì,found; set up;,נמצא; לְהַקִים;,成立公司,chénglì gōngsī,Establishing a company,הקמת חברה,2,Group 1,4
660,存折,cúnzhé,deposit book; bankbook,ספר פיקדון; פנקס בנק,存折丢了,cúnzhé diū le,The passbook is lost,הפנקס אבד,2,Group 1,4
661,打扮,dǎbàn,dress up; make up.,לְהִתְחַפֵּשׁ; לְפַצוֹת.,打扮漂亮,dǎban piàoliang,Dress beautifully,תתלבשי יפה,2,Group 1,4
662,打扫,dǎsǎo,to sweep; clean.,לטאטא; לְנַקוֹת.,打扫房间,dǎsǎo fángjiān,Clean the room,נקה את החדר,2,Group 1,4
663,打印,dǎyìn,print.,הֶדפֵּס.,打印文件,dǎyìn wénjiàn,Print a document,הדפס מסמך,2,Group 1,4
664,当代,dāngdài,contemporary,עַכשָׁוִי,当代艺术,dāngdài yìshù,Contemporary Art,אמנות עכשווית,2,Group 1,4
665,点头,diǎntóu,nod,מָנוֹד רֹאשׁ,点头同意,diǎntóu tóngyì,Nod in agreement,הנהן בהסכמה,2,Group 1,4
666,发现,fāxiàn,find; discover.,לִמצוֹא; לְגַלוֹת.,发现秘密,fāxiàn mìmì,Discover the secret,גלה את הסוד,2,Group 1,4
667,风俗,fēngsú,custom.,מִנְהָג.,了解风俗,liǎojiě fēngsú,Understand customs,להבין מנהגים,2,Group 1,4
668,公费,gōngfèi,at public expense.,על חשבון הציבור.,公费留学,gōngfèi liúxué,Study abroad at public expense,"לימודים בחו""ל על חשבון הציבור",2,Group 1,4
669,挂号,guàhào,register,לִרְשׁוֹם,挂号看病,guàhào kànbìng,Register for medical treatment,הרשמה לטיפול רפואי,2,Group 1,4
670,光临,guānglín,presence (of a guest),נוכחות (של אורח),欢迎光临,huānyíng guānglín,Welcome,קַבָּלַת פָּנִים,2,Group 1,4
671,合资,hézī,joint venture,מיזם משותף,合资企业,hézī qǐyè,joint ventures,מיזמים משותפים,2,Group 1,4
672,胡说,húshuō,talk nonsense,לדבר שטויות,胡说八道,húshuōbādào,Nonsense,שְׁטוּיוֹת,2,Group 1,4
673,活期,huóqī,"current (deposit, etc.)",שוטף (פיקדון וכו'),活期存款,huóqī cúnkuǎn,current deposits,פיקדונות שוטפים,2,Group 1,4
674,及格,jígé,pass an exam,לעבור בחינה,考试及格,kǎoshì jígé,Pass the exam,לעבור את הבחינה,2,Group 1,4
675,交通,jiāotōng,traffic;,תְנוּעָה;,交通方便,jiāotōng fāngbiàn,Convenient transportation,תחבורה נוחה,2,Group 1,4
676,克服,kèfú,overcome;,לְהִתְגַבֵּר;,克服困难,kèfú kùnnán,Overcoming difficulties,התגברות על קשיים,2,Group 1,4
677,来往,láiwǎng,coming and going.,בא והולך.,来往频繁,láiwǎng pínfán,Frequent travel,נסיעות תכופות,2,Group 1,4
678,立即,lìjí,at once;,מִיָד;,立即行动,lìjí xíngdòng,Take action now,בצע פעולה עכשיו,2,Group 1,4
679,绿化,lǜhuà,planted planitation,פלניטציה נטועה,绿化城市,lǜhuà chéngshì,Greening the city,ירק את העיר,2,Group 1,4
680,排练,páiliàn,rehearse.,לעשות חזרות.,排练节目,páiliàn jiémù,Rehearsal program,תוכנית חזרות,2,Group 1,4
681,起飞,qǐfēi,take off (airplain).,להמריא (מישור אוויר).,飞机起飞,fēijī qǐfēi,The plane takes off,המטוס ממריא,2,Group 1,4
682,日常,rìcháng,day-to-day; daily.,יום-יום; יוֹמִי.,日常生活,rìcháng shēnghuó,Daily life,חיי היומיום,2,Group 1,4
683,避暑,bìshǔ,spend a holiday at a summer resort;,לבלות חופשה באתר נופש קיץ;,避暑游客,bì shǔ yóu kè,Summer vacationers,נופשי קיץ,2,Group 1,4
684,表示,biǎoshì,show; express;,לְהַצִיג; אֶקְסְפּרֶס;,表示感谢,biǎo shì gǎn xiè,Express gratitude,הביעו הכרת תודה,2,Group 1,4
685,打针,dǎzhēn,"inject, injection.","להזריק, להזריק.",给你打针,gěi nǐ dǎ zhēn,Give you an injection,תן לך זריקה,2,Group 1,4
686,地位,dìwèi,status,סטָטוּס,经济地位,jīng jì dì wèi,economic status,מצב כלכלי,2,Group 1,4
687,申请,shēnqǐng,apply for.,להגיש בקשה.,申请签证,shēn qǐng qiān zhèng,Apply for a visa,הגשת בקשה לויזה,2,Group 1,4
688,现代,xiàndài,modern;,מוֹדֶרנִי;,现代音乐,xiàn dài yīn lè,Contemporary music,מוזיקה עכשווית,2,Group 1,4
689,滑,huá,slip,לְהַחלִיק,冰面很滑,bīng miàn hěn huá,The ice is very slippery,הקרח חלקלק מאוד,7,Group 1,4
690,帅,shuài,handsome,נָאֶה,他长得很帅,tā cháng dé hěn shuài,He is very handsome,הוא נאה מאוד,4,Group 1,5
691,琴,qín,Qin,צ'ין,她会弹钢琴,tā huì dàn gāng qín,She can play the piano.,היא יודעת לנגן בפסנתר.,11,Group 1,5
692,绿,lǜ,green,יָרוֹק,草地非常绿,cǎo dì fēi cháng lǜ,The grass is very green,הדשא ירוק מאוד,2,Group 1,5
693,越,yuè,cross,לַחֲצוֹת,他越走越快,tā yuè zǒu yuè kuài,He walked faster and faster,הוא הלך מהר יותר ויותר,4,Group 1,5
694,进,jìn,Enter,לְהַכנִיס,请进房间坐,qǐng jìn fáng jiān zuò,Please come into the room and sit down,נא להיכנס לחדר ולשבת,8,Group 1,5
695,远,yuǎn,Far,רָחוֹק,那座山很远,nà zuò shān hěn yuǎn,That mountain is far away,ההר הזה רחוק,7,Group 1,5
696,十,shí,ten,עֶשֶׂר,他买了十本书,tā mǎi liǎo shí běn shū,He bought ten books.,הוא קנה עשרה ספרים.,9,Group 1,6
697,姐,jiě,sister,אָחוֹת,姐姐正在看书,jiě jiě zhèng zài kàn shū,My sister is reading a book,אחותי קוראת ספר,5,Group 1,6
698,婆,pó,mother-in-law,חמות,她是我的婆婆,tā shì wǒ de pó pó,She is my mother-in-law,היא חמותי,3,Group 1,6
699,并,bìng,and,ו,他并没有生气,tā bìng méi yǒu shēng qì,He wasn't angry.,הוא לא כעס.,4,Group 1,6
700,才,cái,talent,כִּשָׁרוֹן,他才刚到公司,tā cái gāng dào gōng sī,He just arrived at the company,הוא בדיוק הגיע לחברה,3,Group 1,6
701,握,wò,grip,יָדִית,请握好我的手,qǐng wò hǎo wǒ de shǒu,Please hold my hand,נא להחזיק את ידי,8,Group 1,6
702,楚,chǔ,Chu,צ'ו,楚国历史悠久,chǔ guó lì shǐ yōu jiǔ,The Chu State has a long history,למדינת צ'ו יש היסטוריה ארוכה,3,Group 1,6
703,激,jī,excitement,הִתרַגְשׁוּת,河水激流湍急,hé shuǐ jī liú tuān jí,The river is turbulent and fast,הנהר סוער ומהיר,4,Group 1,6
704,白,bái,white,לָבָן,白天阳光明媚,bái tiān yáng guāng míng mèi,Sunny daytime,שעות שמש,7,Group 1,6
705,知,zhī,Know,לָדַעַת,知识改变命运,zhī shí gǎi biàn mìng yùn,Knowledge changes destiny,ידע משנה את הגורל,7,Group 1,6
706,街,jiē,street,רְחוֹב,街上人来人往,jiē shàng rén lái rén wǎng,People coming and going on the street,אנשים באים והולכים ברחוב,6,Group 1,6
707,衬,chèn,lining,בִּטנָה,衬衣需要熨平,chèn yī xū yào yùn píng,The shirt needs to be ironed,צריך לגהץ את החולצה,2,Group 1,6
708,路,lù,road,כְּבִישׁ,前方的路很长,qián fāng de lù hěn cháng,The road ahead is long,הדרך קדימה ארוכה,14,Group 1,6
709,链,liàn,chain,שַׁרשֶׁרֶת,链子挂在墙上,liàn zǐ guà zài qiáng shàng,Chain hanging on the wall,שרשרת תלויה על הקיר,3,Group 1,6
710,三,sān,three,שְׁלוֹשָׁה,我家有三只小猫,wǒ jiā yǒu sān zhī xiǎo māo,I have three kittens at home.,יש לי שלושה גורים בבית.,11,Group 1,7
711,介,jiè,between,בֵּין,介绍一下自己吧,jiè shào yī xià zì jǐ bā,Tell us about yourself.,ספר לנו על עצמך.,4,Group 1,7
712,兑,duì,Exchange,לְהַחלִיף,银行可以兑外币,yín xíng kě yǐ duì wài bì,Banks can exchange foreign currency,בנקים יכולים להחליף מטבע חוץ,2,Group 1,7
713,冒,mào,Risk,לְהִסְתָכֵּן,他冒着雨跑回家,tā mào zhuó yǔ pǎo huí jiā,He ran home in the rain,הוא רץ הביתה בגשם,4,Group 1,7
714,反,fǎn,opposite,מוּל,他反对这个计划,tā fǎn duì zhè gè jì huá,He opposed the plan,הוא התנגד לתוכנית,3,Group 1,7
715,员,yuán,member,חָבֵר,员工们正在开会,yuán gōng mén zhèng zài kāi huì,Employees are in a meeting,עובדים נמצאים בפגישה,5,Group 1,7
716,哈,hā,ha,הא,哈哈，你真有趣,hā hā ， nǐ zhēn yǒu qù,"Haha, you're so funny.",חחח אתה כל כך מצחיק.,3,Group 1,7
717,奇,qí,strange,מוּזָר,这个故事很奇特,zhè gè gù shì hěn qí tè,This story is very strange,הסיפור הזה מוזר מאוד,4,Group 1,7
718,客,kè,guest,אוֹרֵחַ,客人们陆续到达,kè rén mén lù xù dào dá,Guests arrived one after another,אורחים הגיעו בזה אחר זה,5,Group 1,7
719,局,jú,Bureau,מִשׂרָד,警察局就在街角,jǐng chá jú jiù zài jiē jiǎo,The police station is just around the corner,תחנת המשטרה ממש מעבר לפינה,3,Group 1,7
720,岁,suì,age,גִיל,孩子今年六岁了,hái zǐ jīn nián liù suì liǎo,The child is six years old this year,הילד בן שש השנה,5,Group 1,7
721,广,guǎng,wide,רָחָב,广场上人山人海,guǎng cháng shàng rén shān rén hǎi,The square was crowded with people,הכיכר הייתה עמוסה באנשים,2,Group 1,7
722,弟,dì,younger brother,אח צעיר,弟弟正在写作业,dì dì zhèng zài xiě zuò yè,My younger brother is doing his homework,אחי הצעיר מכין שיעורי בית,6,Group 1,7
723,志,zhì,ambition,שְׁאַפתָנוּת,他有远大的志向,tā yǒu yuǎn dà de zhì xiàng,He has great ambitions,יש לו שאיפות גדולות,3,Group 1,7
724,怪,guài,Strange,מוּזָר,这件事情很怪异,zhè jiàn shì qíng hěn guài yì,This is a weird thing.,זה דבר מוזר.,4,Group 1,7
725,接,jiē,catch,לִתְפּוֹס,我去接妹妹放学,wǒ qù jiē mèi mèi fàng xué,I'm going to pick up my sister from school,אני הולך לאסוף את אחותי מבית הספר,4,Group 1,7
726,摇,yáo,shake,לְנַעֵר,树叶在风中摇摆,shù yè zài fēng zhōng yáo bǎi,Leaves swaying in the wind,עלים מתנדנדים ברוח,3,Group 1,7
727,月,yuè,moon,יָרֵחַ,今晚的月亮很圆,jīn wǎn de yuè liàng hěn yuán,The moon is very round tonight,הירח עגול מאוד הלילה,7,Group 1,7
728,杯,bēi,cup,גָבִיעַ,我喝了一杯热茶,wǒ hē liǎo yī bēi rè chá,I drank a cup of hot tea,שתיתי כוס תה חם,4,Group 1,7
729,浪,làng,wave,גַל,海浪拍打着岸边,hǎi làng pāi dǎ zhuó àn biān,The waves hit the shore,הגלים פגעו בחוף,3,Group 1,7
730,游,yóu,tour,סִיוּר,我们周末去游泳,wǒ mén zhōu mò qù yóu yǒng,We go swimming on the weekend,אנחנו הולכים לשחות בסוף השבוע,11,Group 1,7
731,热,rè,hot,חַם,夏天的太阳很热,xià tiān de tài yáng hěn rè,The summer sun is very hot,השמש בקיץ חמה מאוד,7,Group 1,7
732,画,huà,painting,צִיוּר,她喜欢画风景画,tā xǐ huān huà fēng jǐng huà,She likes to paint landscapes,היא אוהבת לצייר נופים,12,Group 1,7
733,石,shí,stone,אֶבֶן,河边有许多石头,hé biān yǒu xǔ duō shí tóu,There are many stones by the river,יש הרבה אבנים ליד הנהר,2,Group 1,7
734,祝,zhù,wish,בַּקָשָׁה,我祝你生日快乐,wǒ zhù nǐ shēng rì kuài lè,I wish you a happy birthday,אני מאחל לך יום הולדת שמח,3,Group 1,7
735,神,shén,god,אֵל,神像安放在庙里,shén xiàng ān fàng zài miào lǐ,The statue is placed in the temple,הפסל מוצב במקדש,4,Group 1,7
736,积,jī,product,מוּצָר,他每天积累知识,tā měi tiān jī léi zhī shí,He accumulates knowledge every day,הוא צובר ידע כל יום,6,Group 1,7
737,米,mǐ,rice,אוֹרֶז,我每天都吃米饭,wǒ měi tiān dū chī mǐ fàn,I eat rice every day,אני אוכל אורז כל יום,6,Group 1,7
738,终,zhōng,end,סוֹף,比赛终于结束了,bǐ sài zhōng yú jié shù liǎo,The game is finally over,סוף סוף המשחק נגמר,3,Group 1,7
739,芦,lú,reed,קָנֶה,河边长满了芦苇,hé biān cháng mǎn liǎo lú wěi,The river bank is full of reeds,גדת הנהר מלאה בקנים,4,Group 1,7
740,蜜,mì,honey,דְבַשׁ,蜜蜂采蜜很勤劳,mì fēng cǎi mì hěn qín láo,Bees are very hardworking in collecting honey,דבורים שוקדות מאוד באיסוף דבש,3,Group 1,7
741,行,xíng,OK,בְּסֵדֶר,我们一起去行走,wǒ mén yī qǐ qù xíng zǒu,Let's go walking together,בוא נלך יחד,25,Group 1,7
742,规,guī,regulation,תַקָנָה,遵守规则很重要,zūn shǒu guī zé hěn zhòng yào,It is important to follow the rules,חשוב להקפיד על הכללים,6,Group 1,7
743,览,lǎn,View,נוֹף,我们去公园览景,wǒ mén qù gōng yuán lǎn jǐng,Let's go sightseeing in the park,בואו נצא לטיולים בפארק,7,Group 1,7
744,谢,xiè,Thanks,תוֹדָה,谢谢你帮我拿书,xiè xiè nǐ bāng wǒ ná shū,Thank you for helping me get the book,תודה שעזרת לי להשיג את הספר,4,Group 1,7
745,轻,qīng,light,אוֹר,风轻轻吹过脸庞,fēng qīng qīng chuī guò liǎn páng,The wind blows gently across my face,הרוח נושבת בעדינות על פניי,6,Group 1,7
746,酒,jiǔ,liquor,מַשׁקֶה חָרִיף,晚餐桌上有红酒,wǎn cān zhuō shàng yǒu hóng jiǔ,There is red wine on the dinner table,יש יין אדום על שולחן האוכל,3,Group 1,7
747,典,diǎn,Dictionary,מילון,这是一本经典的书,zhè shì yī běn jīng diǎn de shū,This is a classic book,זהו ספר קלאסי,5,Group 1,8
748,冰,bīng,ice,קֶרַח,湖面结了厚厚的冰,hú miàn jié liǎo hòu hòu de bīng,The lake is covered with thick ice,האגם מכוסה בקרח סמיך,5,Group 1,8
749,叔,shū,uncle,דוֹד,我叔叔住在城市里,wǒ shū shū zhù zài chéng shì lǐ,My uncle lives in the city,דודי גר בעיר,4,Group 1,8
750,号,hào,Number,מִספָּר,这是他的电话号码,zhè shì tā de diàn huà hào mǎ,This is his phone number.,זה מספר הטלפון שלו.,2,Group 1,8
751,吗,ma,?,?,你今天去上课吗？,nǐ jīn tiān qù shàng kè má ？,Are you going to class today?,אתה הולך היום לשיעור?,16,Group 1,8
752,圈,quān,lock up,לִכלוֹא,小狗在院子里跑圈,xiǎo gǒu zài yuàn zǐ lǐ pǎo quān,Puppy running in circles in the yard,גור רץ במעגלים בחצר,4,Group 1,8
753,奶,nǎi,Milk,חָלָב,奶奶正在厨房做饭,nǎi nǎi zhèng zài chú fáng zuò fàn,Grandma is cooking in the kitchen,סבתא מבשלת במטבח,4,Group 1,8
754,如,rú,like,כְּמוֹ,他如约参加了会议,tā rú yuē cān jiā liǎo huì yì,He attended the meeting as scheduled,הוא השתתף בפגישה כמתוכנן,9,Group 1,8
755,尘,chén,dust,אָבָק,地面上有很多灰尘,dì miàn shàng yǒu hěn duō huī chén,There is a lot of dust on the ground,יש הרבה אבק על הקרקע,2,Group 1,8
756,总,zǒng,total,סַך הַכֹּל,总经理召开了会议,zǒng jīng lǐ zhào kāi liǎo huì yì,The general manager held a meeting,המנהל הכללי קיים ישיבה,5,Group 1,8
757,恼,nǎo,angry,כּוֹעֵס,他因小事感到恼怒,tā yīn xiǎo shì gǎn dào nǎo nù,He gets irritated by little things.,הוא מתעצבן מדברים קטנים.,2,Group 1,8
758,找,zhǎo,try to find,לנסות למצוא,我正在找我的钥匙,wǒ zhèng zài zhǎo wǒ de yuè chí,I'm looking for my keys,אני מחפש את המפתחות שלי,10,Group 1,8
759,持,chí,hold,לְהַחזִיק,他持着伞走在雨中,tā chí zhuó sǎn zǒu zài yǔ zhōng,He walked in the rain holding an umbrella,הוא הלך בגשם עם מטריה,4,Group 1,8
760,播,bō,broadcast,מִשׁדָר,电台每天播报新闻,diàn tái měi tiān bō bào xīn wén,Radio broadcasts news every day,הרדיו משדר חדשות כל יום,3,Group 1,8
761,显,xiǎn,Show,לְהַצִיג,他的成绩显著提高,tā de chéng jì xiǎn zhù tí gāo,His grades improved significantly,הציונים שלו השתפרו משמעותית,2,Group 1,8
762,暖,nuǎn,warm,חַם,春天的阳光很暖和,chūn tiān de yáng guāng hěn nuǎn hé,The spring sunshine is very warm,השמש האביבית חמימה מאוד,5,Group 1,8
763,望,wàng,see,לִרְאוֹת,我望向远方的山峰,wǒ wàng xiàng yuǎn fāng de shān fēng,I look at the distant mountains,אני מסתכל על ההרים הרחוקים,7,Group 1,8
764,杂,zá,miscellaneous,שונות,书包里有一些杂物,shū bāo lǐ yǒu yī xiē zá wù,There are some miscellaneous items in the schoolbag,יש כמה פריטים שונים בילקוט,3,Group 1,8
765,李,lǐ,plum,שָׁזִיף,李老师今天很高兴,lǐ lǎo shī jīn tiān hěn gāo xīng,Teacher Li is very happy today,המורה לי מאוד שמחה היום,4,Group 1,8
766,板,bǎn,plate,צַלַחַת,黑板上写满了公式,hēi bǎn shàng xiě mǎn liǎo gōng shì,The blackboard is full of formulas,הלוח מלא בנוסחאות,3,Group 1,8
767,棉,mián,cotton,כּוּתנָה,这件衣服是棉质的,zhè jiàn yī fú shì mián zhì de,This dress is made of cotton,השמלה הזו עשויה מכותנה,3,Group 1,8
768,污,wū,Dirt,עָפָר,河水被污水污染了,hé shuǐ bèi wū shuǐ wū rǎn liǎo,The river water is polluted by sewage,מי הנהר מזוהמים בביוב,3,Group 1,8
769,汤,tāng,Soup,מָרָק,妈妈煲了一锅鸡汤,mā mā bāo liǎo yī guō jī tāng,Mom made a pot of chicken soup,אמא הכינה סיר של מרק עוף,4,Group 1,8
770,温,wēn,temperature,טֶמפֶּרָטוּרָה,今天的天气很温暖,jīn tiān de tiān qì hěn wēn nuǎn,The weather is very warm today,מזג האוויר חם מאוד היום,4,Group 1,8
771,烛,zhú,candle,נֵר,烛光晚餐非常浪漫,zhú guāng wǎn cān fēi cháng làng màn,Candlelight dinner is very romantic,ארוחת ערב לאור נרות היא מאוד רומנטית,2,Group 1,8
772,琵,pí,lute,לָאוּטָה,他正在学习弹琵琶,tā zhèng zài xué xí dàn pí pá,He is learning to play the pipa,הוא לומד לנגן בפיפה,4,Group 1,8
773,琶,pá,Pipa,פיפה,琵琶演奏非常动听,pí pá yǎn zòu fēi cháng dòng tīng,The pipa performance is very beautiful,הביצוע של פיפא יפה מאוד,4,Group 1,8
774,睛,jīng,eye,עַיִן,小鸟在树上眨着睛,xiǎo niǎo zài shù shàng zhǎ zhuó jīng,The little bird is blinking in the tree,הציפור הקטנה ממצמצת בעץ,3,Group 1,8
775,立,lì,stand,לַעֲמוֹד,他立刻采取了行动,tā lì kè cǎi qǔ liǎo xíng dòng,He took immediate action,הוא נקט בפעולה מיידית,1,Group 1,8
776,章,zhāng,chapter,פֶּרֶק,他写了一章新故事,tā xiě liǎo yī zhāng xīn gù shì,He wrote a new chapter,הוא כתב פרק ​​חדש,5,Group 1,8
777,算,suàn,Calculate,לְחַשֵׁב,我会算这道数学题,wǒ huì suàn zhè dào shù xué tí,I can do this math problem,אני יכול לעשות את הבעיה המתמטית הזו,5,Group 1,8
778,籍,jí,membership,חֲבֵרוּת,他来自不同的籍贯,tā lái zì bù tóng de jí guàn,He comes from a different place.,הוא בא ממקום אחר.,4,Group 1,8
779,色,sè,color,צֶבַע,她喜欢穿亮色衣服,tā xǐ huān chuān liàng sè yī fú,She likes to wear bright clothes,היא אוהבת ללבוש בגדים בהירים,10,Group 1,8
780,袋,dài,bag,תִיק,他背着一个大袋子,tā bèi zhuó yī gè dà dài zǐ,He carries a big bag,הוא נושא תיק גדול,4,Group 1,8
781,误,wù,error,שְׁגִיאָה,他误解了老师的话,tā wù jiě liǎo lǎo shī de huà,He misunderstood the teacher's words,הוא לא הבין את דברי המורה,4,Group 1,8
782,赛,sài,Race,גֶזַע,我们参加了田径赛,wǒ mén cān jiā liǎo tián jìng sài,We participated in the track and field competition,השתתפנו בתחרות האתלטיקה,3,Group 1,8
783,迅,xùn,fast,מָהִיר,他的反应非常迅速,tā de fǎn yīng fēi cháng xùn sù,His reaction was very quick.,התגובה שלו הייתה מהירה מאוד.,5,Group 1,8
